reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.4,4
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.45,5
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.5,5
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.55,6
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.6,6
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.65,7
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.7,7
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.75,8
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.8,9
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.85,10
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.9,11
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.95,14
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.975,17
2026-05-02,05,1,wk inc rsv hosp,2026-05-09,quantile,0.99,21
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.01,0
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.025,0
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.05,1
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.1,1
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.15,1
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.2,2
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.25,2
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.3,2
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.35,3
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.4,3
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.45,3
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.5,4
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.55,4
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.6,5
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.65,5
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.7,6
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.75,6
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.8,7
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.85,8
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.9,9.5
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.95,12
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.975,15
2026-05-02,05,2,wk inc rsv hosp,2026-05-16,quantile,0.99,19
2026-05-02,05,3,wk inc rsv hosp,2026-05-23,quantile,0.01,0
2026-05-02,05,3,wk inc rsv hosp,2026-05-23,quantile,0.025,0
